"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"Tusk",2014,"102 min","Netflix","18+","5.3/10",,"When a wise-guy podcaster interviews a disabled seafarer, he decides to embark on a transformational quest to track down a dangerous walrus-monster."
"Twice",2010,"53 min","Netflix","16+",,,"This documentary reenacts the experiences of late activist Tsutomu Yamaguchi, a survivor of both atomic bombings on Japan in 1945."
"Twinsanity",2018,"86 min","Netflix","18+","4.1/10",,"When a yoga enthusiast begins to pull away from her identical twin sister and business partner, their lifelong bond turns deadly."
"Twisted Trunk, Big Fat Body",2015,"89 min","Netflix","16+",,,"After terrorists place a bomb inside a toy Lord Ganesha, a child takes off with the dangerous doll, setting it on a course throughout all of Mumbai."
"Two Graves",2018,"80 min","Netflix","18+","4.3/10",,"A doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one."
"Two Lovers and a Bear",2016,"95 min","Netflix","18+","6.1/10",,"A troubled couple living near the North Pole begins a perilous journey south in an attempt to find peace and vanquish ghosts from the past."
"Tyke Elephant Outlaw",2015,"78 min","Netflix","16+","7.4/10",,"This documentary recounts a 1994 incident in Honolulu in which a circus elephant attacked and killed its trainer, then ran loose on the city streets."
"Tyson",2008,"90 min","Netflix","18+","7.5/10",,"In this surprisingly emotional documentary, heavyweight champ Mike Tyson analyzes the controversies surrounding his career and turbulent private life."
"Ugly",2013,"125 min","Netflix","18+","8.0/10",,"When a 10-year-old goes missing while her father, an actor, is out on an audition, the girl's stepfather – Mumbai's police chief – leads the search."
"Una",2016,"94 min","Netflix","18+","6.2/10",,"A young woman tracks down the older man who preyed on her as a child, forcing them both to confront the damage done by what happened 15 years earlier."
"Unaccompanied Minors",2006,"90 min","Netflix","7+","5.3/10",,"Five disparate kids, snowed in at the airport on Christmas Eve, try to get back to their families and outsmart a disgruntled airport official."
"Under an Arctic Sky",2017,"40 min","Netflix","16+","7.1/10",,"Six fearless surfers travel to the north coast of Iceland to ride waves unlike anything they've ever experienced, captured with high-tech cameras."
"Under The Skin",2013,"108 min","Netflix","18+",,,"A seductive alien prowls the streets in search of prey: unsuspecting men who fall under her spell, only to be consumed by a strange liquid pool."
"Undercover Grandpa",2016,"94 min","Netflix","13+","5.2/10",,"Jake's date with his dream girl takes a turn when she disappears, and Jake's grandpa – a former intelligence officer – sets out to find her."
"Undercover: How to Operate Behind Enemy Lines",1943,"61 min","Netflix","7+","6.1/10",,"This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies."
"Unfinished Song",2012,"94 min","Netflix","13+","7.0/10",,"With his wife terminally ill, Arthur's future seems grim. But he learns to find joy in life again when he joins an unconventional church choir."
"Union Leader",2017,"105 min","Netflix","16+","7.2/10",,"Toxic conditions and a corrupt union leader prompt a chemical plant worker and earnest family man to fight for justice for his fellow laborers."
"Unruly Friends",2011,"83 min","Netflix","16+","5.3/10",,"A young woman discovers that familial and psychological traumas can be difficult to leave behind."
"Up in the Air",2009,"110 min","Netflix","18+","7.4/10",,"Ryan Bingham flies around the country firing employees on behalf of companies, but he faces losing the job he savors to recent college grad Natalie."
"Used Goods",2018,"95 min","Netflix","16+","4.4/10",,"To evade greedy pharmaceutical crooks, a medical scientist disguises himself as a struggling salesman to protect his groundbreaking cancer research."
"V for Vendetta",2005,"132 min","Netflix","18+","8.1/10",,"A masked freedom fighter known as ""V"" takes up arms against a totalitarian government and finds an unlikely ally in a young woman."
"Veerappan",2016,"117 min","Netflix","16+","5.3/10",,"A police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army."
"Veerey Ki Wedding",2018,"130 min","Netflix","16+","2.8/10",,"Quick to throw punches in the name of justice, a young man must find a calmer way to win over the pacifist father of the girl he wishes to marry."
"Vegas Baby",2016,"78 min","Netflix","16+","6.1/10",,"A Las Vegas doctor's controversial online contest sees anxious entrants vie for free in vitro fertilization, a procedure rarely covered by insurance."
"Viceroy's House",2017,"106 min","Netflix","18+","6.7/10",,"As viceroy Lord Mountbatten arrives in Delhi to oversee a transfer of power from Britain to India in 1947, war looms between religious factions."
"Victor",2015,"110 min","Netflix","13+","6.5/10",,"In 1962 Brooklyn, a Puerto Rican teen who joins a gang is seduced by violence and heroin. But can his mother's love and faith in God save him?"
"Viking Destiny",2018,"91 min","Netflix","18+","4.3/10",,"Framed for her father’s murder, an exiled Viking princess is guided by the god Odin as she prepares to return to her kingdom and reclaim the throne."
"Vikings Unearthed",2016,"113 min","Netflix","7+","7.0/10",,"Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like."
"Vincent N Roxxy",2016,"101 min","Netflix","18+","5.6/10",,"In rural Louisiana, a terse loner forges a redemptive bond with a woman he saved from a killer, but a violent past soon catches up with both of them."
"Viswasapoorvam Mansoor",2017,"125 min","Netflix","16+","5.8/10",,"When a mother and her daughter arrive to stay in his home in Kerala, a young Muslim man becomes torn between love, faith and clashing political views."
"Vitti Dandu",2014,"116 min","Netflix","16+","7.3/10",,"In a remote village in colonial India, an old man and his grandson display strong differences in their attitudes toward the country's British rulers."
"Vizontele Tuuba",2004,"106 min","Netflix","18+","6.5/10",,"With civil war looming, a TV-obsessed Turkish town is bemused when a bureaucrat and his daughter arrive to modernize their library."
"Vodka Diaries",2018,"113 min","Netflix","16+","5.6/10",,"While investigating a series of murders and the nightclub that links them, a detective’s case takes an alarming turn when his wife goes missing."
"VS.",2018,"99 min","Netflix","18+","5.9/10",,"A young man in foster care finds his voice in the underground rap battle scene. But when his mother returns, a lifetime of pain comes with her."
"Waar",2013,"130 min","Netflix","18+",,,"When Pakistani authorities learn of a looming terrorist strike, they ask a retired intelligence officer to counter the attack before it's too late."
"Waarrior Savitri",2016,"120 min","Netflix","16+",,,"In a modern adaptation of a mythological tale, a devoted wife is willing to do whatever it takes to rescue her husband from the clutches of death."
"Waiting",2015,"94 min","Netflix","18+","7.2/10",,"While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma."
"Wakefield",2016,"109 min","Netflix","18+","6.3/10",,"An unhappy father and lawyer quits his suburban life and vanishes into the attic above his garage, where he watches his family move on without him."
"Walk with Me",2017,"94 min","Netflix","7+","6.5/10",,"A community of monks in France led by Zen Buddhist master Thich Nhat Hanh offers an intimate glimpse into mindfulness practice and the monastic life."
"Walking Out",2017,"96 min","Netflix","13+","5.8/10",,"A suburban teen goes hunting with his estranged father. When a mishap with a bear occurs, he must his use his survival skills to save them both."
"War",2007,"103 min","Netflix","18+","6.2/10",,"When his partner is killed and all clues point to a notorious assassin, FBI agent Jack Crawford sets out for revenge in this taut action-thriller."
"War Chhod Na Yaar",2013,"109 min","Netflix","16+","5.4/10",,"Set in an India-Pakistan border post, this satirical but thought-provoking comedy about war deals with serious events in a humorous manner."
"War Horse",2011,"147 min","Netflix","13+","7.2/10",,"During World War I, the bond between a young Englishman and his loyal horse, Joey, is tested when Joey is sold to the cavalry and sent to France."
"War on Everyone",2016,"98 min","Netflix","18+","5.9/10",,"Terry and Bob excel at blackmailing small-time crooks. But when the two cops target a big score, they learn not all criminals are easily intimidated."
"Warda",2014,"73 min","Netflix","16+","4.1/10",,"When an aspiring documentarian returns to his hometown to investigate paranormal happenings, his girlfriend's mental health takes a troubling turn."
"Warehoused",2015,"92 min","Netflix","16+","7.4/10",,"A soon-to-be-retiring Mr. Lino teaches 20-something Nin the strict rules of his new warehouse job in this dramedy about the absurdities of work life."
"Water & Power: A California Heist",2017,"78 min","Netflix","7+","7.2/10",,"California residents and farmers face powerful barons in the struggle to secure water rights in this fresh historical account of profit and interests."
"Waterschool",2018,"68 min","Netflix","all","6.5/10",,"Six young women, who each live near one of Earth's major rivers, share how the Waterschool environmental education program has impacted their lives."
"We Are Your Friends",2015,"96 min","Netflix","18+","6.2/10",,"An ambitious young DJ who knows how to work a crowd puts everything at risk for a budding relationship with his mentor's girlfriend."
"We Belong Together",2018,"83 min","Netflix","16+","4.7/10",,"A divorced professor shares a night of passion with a troubled student who quickly develops an unhealthy – perhaps deadly – infatuation."
"We, the Marines",2017,"38 min","Netflix","7+","5.5/10",,"Narrated by actor and former Marine Gene Hackman, this documentary showcases the experience of becoming a member of the US Marine Corps."
